Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50
10E8-10fH/10fL,YU2,Georgiev et al. J Immunol 192:1100 (2014),24391217,4.6,,
10E8-10fH/10fL,ZA012_29,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.29,,
10E8-10fH/10fL,ZM106_9,Georgiev et al. J Immunol 192:1100 (2014),24391217,26,,
10E8-10fH/10fL,ZM55_28A,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.04,,
10E8-10fH/16fL,6101_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.012,,
10E8-10fH/16fL,92RW020_2,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.34,,
10E8-10fH/16fL,BAL_01,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.469,,
10E8-10fH/16fL,BG1168_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.331,,
10E8-10fH/16fL,CAAN5342,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.64,,
10E8-10fH/16fL,DU156_12,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.037,,
10E8-10fH/16fL,DU422_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.153,,
10E8-10fH/16fL,JRCSF,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.366,,
10E8-10fH/16fL,JRFL,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.551,,
10E8-10fH/16fL,KER2018_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.97,,
10E8-10fH/16fL,PVO_4,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.431,,
10E8-10fH/16fL,Q168_A2,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.7,,
10E8-10fH/16fL,Q23_17,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.68,,
10E8-10fH/16fL,Q769_H5,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.941,,
10E8-10fH/16fL,THRO4156,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.084,,
10E8-10fH/16fL,TRJO4551_58,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.27,,
10E8-10fH/16fL,TRO_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.019,,
10E8-10fH/16fL,YU2,Georgiev et al. J Immunol 192:1100 (2014),24391217,4.01,,
10E8-10fH/16fL,ZA012_29,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.422,,
10E8-10fH/16fL,ZM106_9,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-10fH/16fL,ZM55_28A,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.11,,
10E8-10fH/4fL,6101_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.028,,
10E8-10fH/4fL,92RW020_2,Georgiev et al. J Immunol 192:1100 (2014),24391217,8.09,,
10E8-10fH/4fL,BAL_01,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.98,,
10E8-10fH/4fL,BG1168_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.42,,
10E8-10fH/4fL,CAAN5342,Georgiev et al. J Immunol 192:1100 (2014),24391217,11.3,,
10E8-10fH/4fL,DU156_12,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.101,,
10E8-10fH/4fL,DU422_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.687,,
10E8-10fH/4fL,JRCSF,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.85,,
10E8-10fH/4fL,JRFL,Georgiev et al. J Immunol 192:1100 (2014),24391217,2.38,,
10E8-10fH/4fL,KER2018_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,15.1,,
