Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50,Type
NIH45-46G54W,CE0393_C3,Diskin et al. Science 334:1289 (2011),22033520,0.013,0.089,,CD4 binding site-targeting
NIH45-46G54W,CE0682_E4,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.01,,,CD4 binding site-targeting
NIH45-46G54W,CE0682_E4,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.01,0.039,,CD4 binding site-targeting
NIH45-46G54W,CE0682_E4,Diskin et al. Science 334:1289 (2011),22033520,0.01,0.039,,CD4 binding site-targeting
NIH45-46G54W,CE1086_B2,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.02,,,CD4 binding site-targeting
NIH45-46G54W,CE1086_B2,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.019,0.091,,CD4 binding site-targeting
NIH45-46G54W,CE1172_H1,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,>50,,,CD4 binding site-targeting
NIH45-46G54W,CE1172_H1,Diskin et al. J Exp Med. 210:1235 (2013),23712429,>50,>50,,CD4 binding site-targeting
NIH45-46G54W,CE1176_A3,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.16,,,CD4 binding site-targeting
NIH45-46G54W,CE1176_A3,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.16,0.45,,CD4 binding site-targeting
NIH45-46G54W,CE1176_A3,Diskin et al. Science 334:1289 (2011),22033520,0.16,0.45,,CD4 binding site-targeting
NIH45-46G54W,CE2010_F5,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.04,,,CD4 binding site-targeting
NIH45-46G54W,CE2010_F5,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.038,0.187,,CD4 binding site-targeting
NIH45-46G54W,CE2010_F5,Diskin et al. Science 334:1289 (2011),22033520,0.038,0.187,,CD4 binding site-targeting
NIH45-46G54W,CE2060_G9,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.01,,,CD4 binding site-targeting
NIH45-46G54W,CE2060_G9,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.005,0.042,,CD4 binding site-targeting
NIH45-46G54W,CE2060_G9,Diskin et al. Science 334:1289 (2011),22033520,0.005,0.042,,CD4 binding site-targeting
NIH45-46G54W,CNE17,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.04,,,CD4 binding site-targeting
NIH45-46G54W,CNE17,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.036,0.127,,CD4 binding site-targeting
NIH45-46G54W,CNE17,Diskin et al. Science 334:1289 (2011),22033520,0.036,0.127,,CD4 binding site-targeting
NIH45-46G54W,CNE19,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.002,,,CD4 binding site-targeting
NIH45-46G54W,CNE19,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.002,0.028,,CD4 binding site-targeting
NIH45-46G54W,CNE20,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.04,,,CD4 binding site-targeting
NIH45-46G54W,CNE20,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.04,0.48,,CD4 binding site-targeting
NIH45-46G54W,CNE20,Diskin et al. Science 334:1289 (2011),22033520,0.04,0.48,,CD4 binding site-targeting
NIH45-46G54W,CNE21,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.03,,,CD4 binding site-targeting
NIH45-46G54W,CNE21,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.03,0.16,,CD4 binding site-targeting
NIH45-46G54W,CNE21,Diskin et al. Science 334:1289 (2011),22033520,0.03,0.16,,CD4 binding site-targeting
NIH45-46G54W,CNE30,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.05,,,CD4 binding site-targeting
NIH45-46G54W,CNE30,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.052,0.196,,CD4 binding site-targeting
NIH45-46G54W,CNE30,Diskin et al. Science 334:1289 (2011),22033520,0.052,0.196,,CD4 binding site-targeting
NIH45-46G54W,CNE5,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.01,,,CD4 binding site-targeting
NIH45-46G54W,CNE5,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.009,0.116,,CD4 binding site-targeting
NIH45-46G54W,CNE52,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.01,,,CD4 binding site-targeting
NIH45-46G54W,CNE52,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.01,0.052,,CD4 binding site-targeting
NIH45-46G54W,CNE53,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.001,,,CD4 binding site-targeting
NIH45-46G54W,CNE53,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.001,0.005,,CD4 binding site-targeting
NIH45-46G54W,CNE53,Diskin et al. Science 334:1289 (2011),22033520,<0.001,0.005,,CD4 binding site-targeting
NIH45-46G54W,CNE55,Wang et al. Arch Virol 163:3303 (2018),30196320,0.045,,,CD4 binding site-targeting
NIH45-46G54W,CNE58,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.02,,,CD4 binding site-targeting
NIH45-46G54W,CNE58,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.02,0.05,,CD4 binding site-targeting
NIH45-46G54W,CNE58,Diskin et al. Science 334:1289 (2011),22033520,0.02,0.05,,CD4 binding site-targeting
NIH45-46G54W,CNE8,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.06,,,CD4 binding site-targeting
NIH45-46G54W,CNE8,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.055,0.24,,CD4 binding site-targeting
NIH45-46G54W,DU156_12,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.001,,,CD4 binding site-targeting
NIH45-46G54W,DU156_12,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.001,0.005,,CD4 binding site-targeting
NIH45-46G54W,DU156_12,Diskin et al. Science 334:1289 (2011),22033520,<0.001,0.005,,CD4 binding site-targeting
NIH45-46G54W,DU172_17,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,3.65,,,CD4 binding site-targeting
NIH45-46G54W,DU172_17,Diskin et al. J Exp Med. 210:1235 (2013),23712429,3.65,42.85,,CD4 binding site-targeting
NIH45-46G54W,DU172_17,Diskin et al. Science 334:1289 (2011),22033520,3.65,42.85,,CD4 binding site-targeting
NIH45-46G54W,DU422_1,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,>50,,,CD4 binding site-targeting
NIH45-46G54W,DU422_1,Diskin et al. J Exp Med. 210:1235 (2013),23712429,>50,>50,,CD4 binding site-targeting
NIH45-46G54W,DU422_1,Diskin et al. Science 334:1289 (2011),22033520,>50,>50,,CD4 binding site-targeting
NIH45-46G54W,FR_1997_51,Stefic et al. J Virol 93:e01492 (2019),30404804,0.04,,,CD4 binding site-targeting
NIH45-46G54W,FR_1999_46,Stefic et al. J Virol 93:e01492 (2019),30404804,0.36,,,CD4 binding site-targeting
NIH45-46G54W,FR_2000_45,Stefic et al. J Virol 93:e01492 (2019),30404804,0.16,,,CD4 binding site-targeting
NIH45-46G54W,FR_2001_47,Stefic et al. J Virol 93:e01492 (2019),30404804,0.01,,,CD4 binding site-targeting
NIH45-46G54W,FR_2001_48,Stefic et al. J Virol 93:e01492 (2019),30404804,0.14,,,CD4 binding site-targeting
NIH45-46G54W,FR_2001_49,Stefic et al. J Virol 93:e01492 (2019),30404804,0.05,,,CD4 binding site-targeting
NIH45-46G54W,FR_2001_50,Stefic et al. J Virol 93:e01492 (2019),30404804,0.05,,,CD4 binding site-targeting
NIH45-46G54W,FR_2001_54,Stefic et al. J Virol 93:e01492 (2019),30404804,0.13,,,CD4 binding site-targeting
NIH45-46G54W,FR_2001_56,Stefic et al. J Virol 93:e01492 (2019),30404804,0.02,,,CD4 binding site-targeting
NIH45-46G54W,FR_2002_41,Stefic et al. J Virol 93:e01492 (2019),30404804,0.01,,,CD4 binding site-targeting
NIH45-46G54W,FR_2008_66,Stefic et al. J Virol 93:e01492 (2019),30404804,0.09,,,CD4 binding site-targeting
NIH45-46G54W,FR_2008_67,Stefic et al. J Virol 93:e01492 (2019),30404804,0.06,,,CD4 binding site-targeting
NIH45-46G54W,FR_2009_64,Stefic et al. J Virol 93:e01492 (2019),30404804,0.01,,,CD4 binding site-targeting
NIH45-46G54W,FR_2009_71,Stefic et al. J Virol 93:e01492 (2019),30404804,>10,,,CD4 binding site-targeting
NIH45-46G54W,FR_2009_73,Stefic et al. J Virol 93:e01492 (2019),30404804,0.02,,,CD4 binding site-targeting
NIH45-46G54W,FR_2009_76,Stefic et al. J Virol 93:e01492 (2019),30404804,0.12,,,CD4 binding site-targeting
NIH45-46G54W,FR_2009_77,Stefic et al. J Virol 93:e01492 (2019),30404804,0.13,,,CD4 binding site-targeting
NIH45-46G54W,FR_2010_74,Stefic et al. J Virol 93:e01492 (2019),30404804,0.02,,,CD4 binding site-targeting
NIH45-46G54W,FR_2011_167,Stefic et al. J Virol 93:e01492 (2019),30404804,0.54,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_161,Stefic et al. J Virol 93:e01492 (2019),30404804,>10,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_162,Stefic et al. J Virol 93:e01492 (2019),30404804,0.04,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_164,Stefic et al. J Virol 93:e01492 (2019),30404804,0.08,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_166,Stefic et al. J Virol 93:e01492 (2019),30404804,0.11,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_168,Stefic et al. J Virol 93:e01492 (2019),30404804,1.67,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_171,Stefic et al. J Virol 93:e01492 (2019),30404804,0.14,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_172,Stefic et al. J Virol 93:e01492 (2019),30404804,0.09,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_173,Stefic et al. J Virol 93:e01492 (2019),30404804,0.01,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_176,Stefic et al. J Virol 93:e01492 (2019),30404804,0.01,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_177,Stefic et al. J Virol 93:e01492 (2019),30404804,0.15,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_178,Stefic et al. J Virol 93:e01492 (2019),30404804,0.07,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_179,Stefic et al. J Virol 93:e01492 (2019),30404804,1.67,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_180,Stefic et al. J Virol 93:e01492 (2019),30404804,0.05,,,CD4 binding site-targeting
NIH45-46G54W,FR_2012_181,Stefic et al. J Virol 93:e01492 (2019),30404804,0.02,,,CD4 binding site-targeting
NIH45-46G54W,JRCSF,Barbian et al. mBio 6:e00296-15 (2015),25900654,0.06,,,CD4 binding site-targeting
NIH45-46G54W,MS208_A1,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.03,,,CD4 binding site-targeting
NIH45-46G54W,MS208_A1,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.031,0.17,,CD4 binding site-targeting
NIH45-46G54W,N1_FR_2011,Morgand et al. JAIDS 71:237 (2015),26413851,>10,,,CD4 binding site-targeting
NIH45-46G54W,P0402_C2_11,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.003,,,CD4 binding site-targeting
NIH45-46G54W,P0402_C2_11,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.003,0.023,,CD4 binding site-targeting
NIH45-46G54W,P0402_C2_11,Diskin et al. Science 334:1289 (2011),22033520,0.003,0.023,,CD4 binding site-targeting
NIH45-46G54W,P1981_C5_3,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.02,,,CD4 binding site-targeting
NIH45-46G54W,P1981_C5_3,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.02,0.07,,CD4 binding site-targeting
NIH45-46G54W,P1981_C5_3,Diskin et al. Science 334:1289 (2011),22033520,0.02,0.07,,CD4 binding site-targeting
NIH45-46G54W,PVO_4,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.05,,,CD4 binding site-targeting
NIH45-46G54W,PVO_4,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.05,0.16,,CD4 binding site-targeting
NIH45-46G54W,PVO_4,Diskin et al. Science 334:1289 (2011),22033520,0.05,0.16,,CD4 binding site-targeting
NIH45-46G54W,Q168_A2,Goo et al. J Virol 86:10857 (2012),22837204,0.05,,,CD4 binding site-targeting
NIH45-46G54W,Q168_B23,Goo et al. J Virol 86:10857 (2012),22837204,0.04,,,CD4 binding site-targeting
NIH45-46G54W,Q23_17,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.01,,,CD4 binding site-targeting
NIH45-46G54W,Q23_17,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.01,0.03,,CD4 binding site-targeting
NIH45-46G54W,Q23_17,Diskin et al. Science 334:1289 (2011),22033520,0.01,0.03,,CD4 binding site-targeting
NIH45-46G54W,Q23_17,Goo et al. J Virol 86:10857 (2012),22837204,0.37,,,CD4 binding site-targeting
NIH45-46G54W,Q259_17,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.001,,,CD4 binding site-targeting
NIH45-46G54W,Q259_17,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.001,0.014,,CD4 binding site-targeting
NIH45-46G54W,Q259_17,Diskin et al. Science 334:1289 (2011),22033520,<0.001,0.014,,CD4 binding site-targeting
NIH45-46G54W,Q259_17,Goo et al. J Virol 86:10857 (2012),22837204,0.12,,,CD4 binding site-targeting
NIH45-46G54W,Q259_D2_26,Goo et al. J Virol 86:10857 (2012),22837204,0.04,,,CD4 binding site-targeting
NIH45-46G54W,Q259_W6,Goo et al. J Virol 86:10857 (2012),22837204,0.04,,,CD4 binding site-targeting
NIH45-46G54W,Q461_C2,Goo et al. J Virol 86:10857 (2012),22837204,0.08,,,CD4 binding site-targeting
NIH45-46G54W,Q461_D1_PNS0D,Goo et al. J Virol 86:10857 (2012),22837204,0.04,,,CD4 binding site-targeting
NIH45-46G54W,Q461_E2,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.01,,,CD4 binding site-targeting
NIH45-46G54W,Q461_E2,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.009,0.091,,CD4 binding site-targeting
NIH45-46G54W,Q461_E2,Diskin et al. Science 334:1289 (2011),22033520,0.009,0.091,,CD4 binding site-targeting
NIH45-46G54W,Q461_E2,Goo et al. J Virol 86:10857 (2012),22837204,0.1,,,CD4 binding site-targeting
NIH45-46G54W,Q769_B9_PNS79D,Goo et al. J Virol 86:10857 (2012),22837204,0.03,,,CD4 binding site-targeting
NIH45-46G54W,Q769_D22,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.001,,,CD4 binding site-targeting
NIH45-46G54W,Q769_D22,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.001,0.009,,CD4 binding site-targeting
NIH45-46G54W,Q769_D22,Diskin et al. Science 334:1289 (2011),22033520,<0.001,0.009,,CD4 binding site-targeting
NIH45-46G54W,Q769_D22,Goo et al. J Virol 86:10857 (2012),22837204,0.16,,,CD4 binding site-targeting
NIH45-46G54W,Q769_H5,Goo et al. J Virol 86:10857 (2012),22837204,0.31,,,CD4 binding site-targeting
NIH45-46G54W,Q842_D12,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.005,,,CD4 binding site-targeting
NIH45-46G54W,Q842_D12,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.005,0.025,,CD4 binding site-targeting
NIH45-46G54W,Q842_D12,Diskin et al. Science 334:1289 (2011),22033520,0.005,0.025,,CD4 binding site-targeting
NIH45-46G54W,Q842_D12,Goo et al. J Virol 86:10857 (2012),22837204,0.03,,,CD4 binding site-targeting
NIH45-46G54W,Q842_D14,Goo et al. J Virol 86:10857 (2012),22837204,0.09,,,CD4 binding site-targeting
NIH45-46G54W,Q842_D16,Goo et al. J Virol 86:10857 (2012),22837204,0.08,,,CD4 binding site-targeting
NIH45-46G54W,QA013_70I_H1,Goo et al. J Virol 86:10857 (2012),22837204,0.11,,,CD4 binding site-targeting
NIH45-46G54W,QA013_70I_M12,Goo et al. J Virol 86:10857 (2012),22837204,0.22,,,CD4 binding site-targeting
NIH45-46G54W,QA255_21P_A15,Goo et al. J Virol 86:10857 (2012),22837204,0.2,,,CD4 binding site-targeting
NIH45-46G54W,QA465_59M_A1,Goo et al. J Virol 86:10857 (2012),22837204,>1,,,CD4 binding site-targeting
NIH45-46G54W,QA465_59M_D1,Goo et al. J Virol 86:10857 (2012),22837204,>1,,,CD4 binding site-targeting
NIH45-46G54W,QA790_204I_A4,Goo et al. J Virol 86:10857 (2012),22837204,0.03,,,CD4 binding site-targeting
NIH45-46G54W,QA790_204I_C1,Goo et al. J Virol 86:10857 (2012),22837204,0.001,,,CD4 binding site-targeting
NIH45-46G54W,QA790_204I_C8,Goo et al. J Virol 86:10857 (2012),22837204,0.22,,,CD4 binding site-targeting
NIH45-46G54W,QA790_204I_E2,Goo et al. J Virol 86:10857 (2012),22837204,0.01,,,CD4 binding site-targeting
NIH45-46G54W,QB099_391M_B1,Goo et al. J Virol 86:10857 (2012),22837204,0.06,,,CD4 binding site-targeting
NIH45-46G54W,QB099_391M_C8,Goo et al. J Virol 86:10857 (2012),22837204,0.2,,,CD4 binding site-targeting
NIH45-46G54W,QB726_70M_B3,Goo et al. J Virol 86:10857 (2012),22837204,0.09,,,CD4 binding site-targeting
NIH45-46G54W,QB857_110I_B3,Goo et al. J Virol 86:10857 (2012),22837204,>1,,,CD4 binding site-targeting
NIH45-46G54W,QC406_70M_F3,Goo et al. J Virol 86:10857 (2012),22837204,0.13,,,CD4 binding site-targeting
NIH45-46G54W,QD435_100M_A4,Goo et al. J Virol 86:10857 (2012),22837204,0.17,,,CD4 binding site-targeting
NIH45-46G54W,QD435_100M_B5,Goo et al. J Virol 86:10857 (2012),22837204,0.08,,,CD4 binding site-targeting
NIH45-46G54W,QD435_100M_E1,Goo et al. J Virol 86:10857 (2012),22837204,0.08,,,CD4 binding site-targeting
NIH45-46G54W,QF495_23M_A1,Goo et al. J Virol 86:10857 (2012),22837204,0.23,,,CD4 binding site-targeting
NIH45-46G54W,QF495_23M_A3,Goo et al. J Virol 86:10857 (2012),22837204,0.17,,,CD4 binding site-targeting
NIH45-46G54W,QF495_23M_B2,Goo et al. J Virol 86:10857 (2012),22837204,0.16,,,CD4 binding site-targeting
NIH45-46G54W,QF495_23M_D1,Goo et al. J Virol 86:10857 (2012),22837204,0.13,,,CD4 binding site-targeting
NIH45-46G54W,QG393_60M_A1,Goo et al. J Virol 86:10857 (2012),22837204,0.01,,,CD4 binding site-targeting
NIH45-46G54W,QG393_60M_B7,Goo et al. J Virol 86:10857 (2012),22837204,0.02,,,CD4 binding site-targeting
NIH45-46G54W,QG393_60M_B8,Goo et al. J Virol 86:10857 (2012),22837204,0.01,,,CD4 binding site-targeting
NIH45-46G54W,QG984_21M_A3,Goo et al. J Virol 86:10857 (2012),22837204,0.03,,,CD4 binding site-targeting
NIH45-46G54W,QH0692_42,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.37,,,CD4 binding site-targeting
NIH45-46G54W,QH0692_42,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.37,1.12,,CD4 binding site-targeting
NIH45-46G54W,QH0692_42,Diskin et al. Science 334:1289 (2011),22033520,0.37,1.12,,CD4 binding site-targeting
NIH45-46G54W,QH209_14M_A2,Goo et al. J Virol 86:10857 (2012),22837204,0.02,,,CD4 binding site-targeting
NIH45-46G54W,QH343_21M_A10,Goo et al. J Virol 86:10857 (2012),22837204,>1,,,CD4 binding site-targeting
NIH45-46G54W,QH343_21M_B5,Goo et al. J Virol 86:10857 (2012),22837204,>1,,,CD4 binding site-targeting
NIH45-46G54W,QH359_21M_C1,Goo et al. J Virol 86:10857 (2012),22837204,0.37,,,CD4 binding site-targeting
NIH45-46G54W,QH359_21M_D1,Goo et al. J Virol 86:10857 (2012),22837204,0.25,,,CD4 binding site-targeting
NIH45-46G54W,R1166_C1,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.13,,,CD4 binding site-targeting
NIH45-46G54W,R1166_C1,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.13,0.51,,CD4 binding site-targeting
NIH45-46G54W,R1166_C1,Diskin et al. Science 334:1289 (2011),22033520,0.13,0.51,,CD4 binding site-targeting
NIH45-46G54W,R2184_C4,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.01,,,CD4 binding site-targeting
NIH45-46G54W,R2184_C4,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.005,0.036,,CD4 binding site-targeting
NIH45-46G54W,R2184_C4,Diskin et al. Science 334:1289 (2011),22033520,0.005,0.036,,CD4 binding site-targeting
NIH45-46G54W,RBF125,Morgand et al. JAIDS 71:237 (2015),26413851,>10,,,CD4 binding site-targeting
NIH45-46G54W,RBF168,Morgand et al. JAIDS 71:237 (2015),26413851,>10,,,CD4 binding site-targeting
NIH45-46G54W,RBF189,Morgand et al. JAIDS 71:237 (2015),26413851,>10,,,CD4 binding site-targeting
NIH45-46G54W,RBF208,Morgand et al. JAIDS 71:237 (2015),26413851,1.5,,,CD4 binding site-targeting
NIH45-46G54W,REJO4541_67,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.002,,,CD4 binding site-targeting
NIH45-46G54W,REJO4541_67,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.002,0.013,,CD4 binding site-targeting
NIH45-46G54W,REJO4541_67,Diskin et al. Science 334:1289 (2011),22033520,0.002,0.013,,CD4 binding site-targeting
NIH45-46G54W,RHPA4259_7,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.001,,,CD4 binding site-targeting
NIH45-46G54W,RHPA4259_7,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.001,0.007,,CD4 binding site-targeting
NIH45-46G54W,RHPA4259_7,Diskin et al. Science 334:1289 (2011),22033520,<0.001,0.007,,CD4 binding site-targeting
NIH45-46G54W,SC05_8C11_2344,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.02,,,CD4 binding site-targeting
NIH45-46G54W,SC05_8C11_2344,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.021,0.2,,CD4 binding site-targeting
NIH45-46G54W,SC422_8,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.02,,,CD4 binding site-targeting
NIH45-46G54W,SC422_8,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.02,0.07,,CD4 binding site-targeting
NIH45-46G54W,SC422_8,Diskin et al. Science 334:1289 (2011),22033520,0.02,0.07,,CD4 binding site-targeting
NIH45-46G54W,SF162,Wang et al. Arch Virol 163:3303 (2018),30196320,0.099,,,CD4 binding site-targeting
NIH45-46G54W,SG3,Barbian et al. mBio 6:e00296-15 (2015),25900654,0.004,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_BF1167,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_EK505,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_GAB1,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_GAB2,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_LB715,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_MB897,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_MT145,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_TAN1,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_TAN13,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_TAN2,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_CPZ_TAN3,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,SIV_GOR_CP2139,Barbian et al. mBio 6:e00296-15 (2015),25900654,>10,,,CD4 binding site-targeting
NIH45-46G54W,T250_4,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,1.33,,,CD4 binding site-targeting
NIH45-46G54W,T250_4,Diskin et al. J Exp Med. 210:1235 (2013),23712429,1.33,44.94,,CD4 binding site-targeting
NIH45-46G54W,T250_4,Diskin et al. Science 334:1289 (2011),22033520,1.33,44.94,,CD4 binding site-targeting
NIH45-46G54W,T251_18,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.26,,,CD4 binding site-targeting
NIH45-46G54W,T251_18,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.26,0.92,,CD4 binding site-targeting
NIH45-46G54W,T251_18,Diskin et al. Science 334:1289 (2011),22033520,0.26,0.92,,CD4 binding site-targeting
NIH45-46G54W,T253_11,Moyo et al. J Virol. 92:e02261 (2018) - dataset 1,29618644,0.067,,,CD4 binding site-targeting
NIH45-46G54W,T253_11,Moyo et al. J Virol. 92:e02261 (2018) - dataset 2,29618644,0.02,,,CD4 binding site-targeting
NIH45-46G54W,T253_11_L669S,Moyo et al. J Virol. 92:e02261 (2018) - dataset 2,29618644,0.01,,,CD4 binding site-targeting
NIH45-46G54W,T253_11_Y681H,Moyo et al. J Virol. 92:e02261 (2018) - dataset 2,29618644,0.01,,,CD4 binding site-targeting
NIH45-46G54W,T255_34,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.001,,,CD4 binding site-targeting
NIH45-46G54W,T255_34,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.001,0.099,,CD4 binding site-targeting
NIH45-46G54W,T255_34,Diskin et al. Science 334:1289 (2011),22033520,<0.001,0.099,,CD4 binding site-targeting
NIH45-46G54W,T257_31,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.13,,,CD4 binding site-targeting
NIH45-46G54W,T257_31,Diskin et al. J Exp Med. 210:1235 (2013),23712429,0.13,0.45,,CD4 binding site-targeting
NIH45-46G54W,T257_31,Diskin et al. Science 334:1289 (2011),22033520,0.13,0.45,,CD4 binding site-targeting
NIH45-46G54W,T278_50,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,>50,,,CD4 binding site-targeting
NIH45-46G54W,T278_50,Diskin et al. J Exp Med. 210:1235 (2013),23712429,>50,>50,,CD4 binding site-targeting
NIH45-46G54W,T278_50,Diskin et al. Science 334:1289 (2011),22033520,>50,>50,,CD4 binding site-targeting
NIH45-46G54W,THRO4156,Bricault et al. Cell Host Microbe 25:59 (2019) - dataset 3,30629920,0.54,,,CD4 binding site-targeting
