Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50,Type
0PV-a.01,CNE15,Kong et al. Cell 178:567-584.e19 (2019),31348886,6.27,73,,gp41
0PV-a.01,CNE19,Kong et al. Cell 178:567-584.e19 (2019),31348886,0.325,1.07,,gp41
0PV-a.01,CNE20,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,CNE21,Kong et al. Cell 178:567-584.e19 (2019),31348886,38.2,220,,gp41
0PV-a.01,CNE3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,CNE30,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,CNE31,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,CNE4,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,CNE40,Kong et al. Cell 178:567-584.e19 (2019),31348886,0.806,8.6,,gp41
0PV-a.01,CNE5,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,CNE53,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,CNE55,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,CNE56,Kong et al. Cell 178:567-584.e19 (2019),31348886,24.6,201,,gp41
0PV-a.01,CNE57,Kong et al. Cell 178:567-584.e19 (2019),31348886,4.76,>500,,gp41
0PV-a.01,CNE58,Kong et al. Cell 178:567-584.e19 (2019),31348886,74,492,,gp41
0PV-a.01,CNE59,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,CNE7,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,CNE8,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,DJ263_8,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,DU123_06,Kong et al. Cell 178:567-584.e19 (2019),31348886,16,312,,gp41
0PV-a.01,DU151_02,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,DU156_12,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,DU172_17,Kong et al. Cell 178:567-584.e19 (2019),31348886,186,>500,,gp41
0PV-a.01,DU422_1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,H086_8,Kong et al. Cell 178:567-584.e19 (2019),31348886,23,129,,gp41
0PV-a.01,HT593_1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,HXB2,Kong et al. Cell 178:567-584.e19 (2019),31348886,0.742,1.94,,gp41
0PV-a.01,JRCSF,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,JRFL,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,KER2008_12,Kong et al. Cell 178:567-584.e19 (2019),31348886,0.751,6.26,,gp41
0PV-a.01,KER2018_11,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,KNH1209_18,Kong et al. Cell 178:567-584.e19 (2019),31348886,60,197,,gp41
0PV-a.01,KO426_T78_10,Kong et al. Cell 178:567-584.e19 (2019),31348886,371,>500,,gp41
0PV-a.01,M02138,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,MB201_A1,Kong et al. Cell 178:567-584.e19 (2019),31348886,1.88,94,,gp41
0PV-a.01,MB539_2B7,Kong et al. Cell 178:567-584.e19 (2019),31348886,67,>500,,gp41
0PV-a.01,MI369_A5,Kong et al. Cell 178:567-584.e19 (2019),31348886,36.5,>500,,gp41
0PV-a.01,MN_3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,MS208_A1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,MW965_26,Kong et al. Cell 178:567-584.e19 (2019),31348886,4.94,20,,gp41
0PV-a.01,NKU3006_EC1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,P0402_C2_11,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,P1981_C5_3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,PVO_4,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,Q168_A2,Kong et al. Cell 178:567-584.e19 (2019),31348886,223,>500,,gp41
0PV-a.01,Q23_17,Kong et al. Cell 178:567-584.e19 (2019),31348886,30,483,,gp41
0PV-a.01,Q259_17,Kong et al. Cell 178:567-584.e19 (2019),31348886,92,403,,gp41
0PV-a.01,Q461_E2,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,Q769_D22,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,Q769_H5,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,Q842_D12,Kong et al. Cell 178:567-584.e19 (2019),31348886,95,>500,,gp41
0PV-a.01,QH0515_1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,QH0692_42,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,QH209_14M_A2,Kong et al. Cell 178:567-584.e19 (2019),31348886,161,>500,,gp41
0PV-a.01,R1166_C1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,R2184_C4,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,R3265_C6,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,REJO4541_67,Kong et al. Cell 178:567-584.e19 (2019),31348886,246,>500,,gp41
0PV-a.01,RHPA4259_7,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,S018_18,Kong et al. Cell 178:567-584.e19 (2019),31348886,1.96,40.3,,gp41
0PV-a.01,SC422_8,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,SF162,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,SS1196_1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,T250_4,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,T251_18,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,T253_11,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,T255_34,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,T257_31,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,T266_60,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,T278_50,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,T280_5,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,T33_7,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,TH023_6,Kong et al. Cell 178:567-584.e19 (2019),31348886,1.08,52,,gp41
0PV-a.01,TH966_8,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,TH976_17,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,THRO4156,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,TRJO4551_58,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,TRO_11,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,TV1_29,Kong et al. Cell 178:567-584.e19 (2019),31348886,123,>500,,gp41
0PV-a.01,TZA125_17,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,TZBD_02,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,UG021_16,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,UG024_2,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,UG037_8,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,WITO4160_33,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,X1193_C1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,X1254_C3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,X1632_S2_B10,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,X2088_C9,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,X2131_C1_B5,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,X2278_C2_B6,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,YU2,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,ZA012_29,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,ZM106_9,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,ZM109_4,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,ZM135_10A,Kong et al. Cell 178:567-584.e19 (2019),31348886,147,398,,gp41
0PV-a.01,ZM176_66,Kong et al. Cell 178:567-584.e19 (2019),31348886,6.83,36.3,,gp41
0PV-a.01,ZM197_7,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,ZM214_15,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,ZM215_8,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,ZM233_6,Kong et al. Cell 178:567-584.e19 (2019),31348886,106,169,,gp41
0PV-a.01,ZM249_1,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,ZM53_12,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-a.01,ZM55_28A,Kong et al. Cell 178:567-584.e19 (2019),31348886,72,>500,,gp41
0PV-b.01,0013095_2_11,Kong et al. Cell 178:567-584.e19 (2019),31348886,124,>500,,gp41
0PV-b.01,001428_2_42,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-b.01,0077_V1_C16,Kong et al. Cell 178:567-584.e19 (2019),31348886,14.9,98,,gp41
0PV-b.01,00836_2_5,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-b.01,0260_V5_C36,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-b.01,0330_V4_C3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-b.01,0439_V5_C1,Kong et al. Cell 178:567-584.e19 (2019),31348886,439,>500,,gp41
0PV-b.01,0815_V3_C3,Kong et al. Cell 178:567-584.e19 (2019),31348886,1.89,23.8,,gp41
0PV-b.01,0921_V2_C14,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
0PV-b.01,16055_2_3,Kong et al. Cell 178:567-584.e19 (2019),31348886,>500,>500,,gp41
